event_id,event_name,event_status,prize_pool,event_dates,event_country,event_image_url
604,Champions Tour Vietnam Stage 3: Challengers 3,completed,6726.0,Jul 29 Aug 8,vn,https://owcdn.net/img/6009f963577f4.png
581,Champions Tour Philippines Stage 3: Challengers 3,completed,5340.0,Jul 29 Aug 8,ph,https://owcdn.net/img/6009f963577f4.png
569,Champions Tour Malaysia & Singapore Stage 3: Challengers 3,completed,3060.0,Jul 30 Aug 8,my,https://owcdn.net/img/6009f963577f4.png
574,Champions Tour Hong Kong & Taiwan Stage 3: Challengers 3,completed,5000.0,Aug 1 8,tw,https://owcdn.net/img/6009f963577f4.png
517,Champions Tour LATAM Stage 3: Challengers 2,completed,4500.0,Jul 20 Aug 1,un,https://owcdn.net/img/6009f963577f4.png
576,Champions Tour North America Stage 3: Challengers 2,completed,50000.0,Jul 22 Aug 1,us,https://owcdn.net/img/6009f963577f4.png
544,Champions Tour Europe Stage 3: Challengers 2,completed,42333.0,Jul 20 Aug 1,eu,https://owcdn.net/img/6009f963577f4.png
545,Champions Tour Turkey Stage 3: Challengers 2,completed,21771.0,Jul 20 31,tr,https://owcdn.net/img/6009f963577f4.png
546,Champions Tour CIS Stage 3: Challengers 2,completed,21771.0,Jul 20 31,ru,https://owcdn.net/img/6009f963577f4.png
534,Champions Tour Brazil Stage 3: Challengers 2,completed,9844.0,Jul 12 25,br,https://owcdn.net/img/6009f963577f4.png
611,Champions Tour Indonesia Stage 3: Challengers 2,completed,3444.0,Jul 16 25,id,https://owcdn.net/img/6009f963577f4.png
580,Champions Tour Philippines Stage 3: Challengers 2,completed,5340.0,Jul 15 25,ph,https://owcdn.net/img/6009f963577f4.png
603,Champions Tour Vietnam Stage 3: Challengers 2,completed,6726.0,Jul 15 25,vn,https://owcdn.net/img/6009f963577f4.png
573,Champions Tour Hong Kong & Taiwan Stage 3: Challengers 2,completed,5000.0,Jul 16 25,tw,https://owcdn.net/img/6009f963577f4.png
